UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;P801;P802;P803;P804;FEX_MUJER
621;18;1;2021;1;0;1;3;3;1;1;1918
621;27;1;2021;1;0;1;3;3;3;3;2103
621;38;1;2021;1;0;1;3;3;1;3;446
621;48;1;2021;1;0;1;3;3;3;3;2129
622;12;1;2021;1;0;1;3;3;3;3;275
622;16;1;2021;1;0;1;1;3;3;3;774
622;19;1;2021;1;0;1;3;3;3;3;743
622;23;1;2021;1;0;1;3;1;1;3;543
622;27;1;2021;1;0;1;3;3;3;3;201
622;28;1;2021;1;0;1;3;3;3;3;639
622;37;1;2021;1;0;1;3;3;3;3;1008
622;38;1;2021;1;0;1;2;1;3;1;607
805;11;1;2021;1;0;1;3;1;3;3;548
805;25;1;2021;1;0;1;3;3;3;3;470
805;28;1;2021;1;0;1;3;3;3;3;773
805;36;1;2021;1;0;1;1;1;1;1;548
805;38;1;2021;1;0;1;3;3;3;1;773
805;51;1;2021;1;0;1;3;3;3;3;661
853;1;1;2021;1;0;1;3;3;3;3;454
853;3;1;2021;1;0;1;3;2;3;3;320
853;10;1;2021;1;0;1;3;3;1;8;227
853;22;1;2021;1;0;1;1;1;1;1;641
853;28;1;2021;1;0;1;1;1;1;1;548
853;38;1;2021;1;0;1;3;2;1;3;274
853;53;1;2021;1;0;1;3;3;3;3;291
853;70;1;2021;1;0;1;3;1;1;1;274
853;80;1;2021;1;0;1;2;2;2;1;310
885;8;1;2021;1;0;1;3;3;1;3;22178
895;13;1;2021;1;0;1;3;3;3;3;1578
895;16;1;2021;1;0;1;3;2;2;2;1847
895;22;1;2021;1;0;1;3;3;3;3;1123
901;10;1;2021;1;0;1;3;1;3;3;401
901;11;1;2021;1;0;1;3;3;3;3;286
901;29;1;2021;1;0;1;3;3;3;3;1004
901;31;1;2021;1;0;1;3;3;3;3;470
901;36;1;2021;1;0;1;3;3;3;3;455
901;41;1;2021;1;0;1;3;3;1;1;319
901;57;1;2021;1;0;1;3;2;1;2;352
920;25;1;2021;1;0;1;3;3;3;3;6918
920;33;1;2021;1;0;1;1;1;3;3;9626
1027;9;1;2021;1;0;1;3;3;3;3;498
1027;21;1;2021;1;0;1;3;3;3;3;1168
1027;26;1;2021;1;0;1;3;3;3;3;499
1027;30;1;2021;1;0;1;3;3;1;1;355
1027;34;1;2021;1;0;1;3;3;3;3;414
1027;38;1;2021;1;0;1;3;1;3;1;625
1030;8;1;2021;1;0;1;3;3;1;3;214
1030;16;1;2021;1;0;1;3;1;1;2;442
1030;19;1;2021;1;0;1;3;2;1;2;196
1030;20;1;2021;1;0;1;3;3;3;3;269
1030;21;1;2021;1;0;1;3;3;1;1;442
1030;27;1;2021;1;0;1;3;3;3;3;211
1030;29;1;2021;1;0;1;3;3;3;3;134
1030;43;1;2021;1;0;1;3;3;3;3;470
1030;46;1;2021;1;0;1;3;3;3;3;601
1030;48;1;2021;1;0;1;3;3;3;3;401
1159;14;1;2021;1;0;1;3;3;1;3;888
1159;19;1;2021;1;0;1;3;3;1;1;461
1159;23;1;2021;1;0;1;3;3;3;3;328
1159;34;1;2021;1;0;1;3;3;3;3;413
1159;37;1;2021;1;0;1;3;3;3;1;241
1159;53;1;2021;1;0;1;3;3;3;3;308
1159;59;1;2021;1;0;1;3;3;3;3;619
1186;6;1;2021;1;0;1;3;3;3;3;1098
1186;26;1;2021;1;0;1;3;3;1;3;1418
1186;34;1;2021;1;0;1;3;3;3;3;498
1186;48;1;2021;1;0;1;3;3;1;1;445
1186;54;1;2021;1;0;1;3;3;1;3;783
1186;57;1;2021;1;0;1;3;3;3;3;1039
1291;4;1;2021;1;0;1;3;3;3;3;5102
1291;41;1;2021;1;0;1;3;3;1;3;4256
1291;64;1;2021;1;0;1;3;3;3;3;1210
1291;65;1;2021;1;0;1;3;3;3;3;1927
1345;26;1;2021;1;0;1;3;3;3;3;6031
1345;31;1;2021;1;0;1;3;3;3;3;2841
1345;47;1;2021;1;0;1;3;1;3;1;2208
1345;52;1;2021;1;0;1;1;2;3;1;4995
1448;13;1;2021;1;0;1;3;2;3;2;4342
1448;47;1;2021;1;0;1;3;1;1;3;1540
1448;50;1;2021;1;0;1;3;3;3;3;3711
1571;2;1;2021;1;0;1;3;1;3;3;2315
1571;11;1;2021;1;0;1;3;3;1;1;3807
1571;30;1;2021;1;0;1;2;2;2;2;1623
1571;55;1;2021;1;0;1;3;3;3;3;1294
1701;1;1;2021;1;0;1;3;3;3;3;293
1701;7;1;2021;1;0;1;3;1;1;1;417
1701;24;1;2021;1;0;1;3;3;3;3;328
1701;25;1;2021;1;0;1;3;1;1;1;771
1701;31;1;2021;1;0;1;3;3;3;3;293
1701;42;1;2021;1;0;1;3;3;3;3;699
1701;43;1;2021;1;0;1;1;1;1;1;634
1701;45;1;2021;1;0;1;3;3;3;3;293
1758;2;1;2021;1;0;1;3;3;3;3;606
1758;29;1;2021;1;0;1;3;3;1;1;431
1758;35;1;2021;1;0;1;3;3;3;3;1419
1758;36;1;2021;1;0;1;3;3;3;1;863
1758;41;1;2021;1;0;1;1;1;3;3;606
1758;47;1;2021;1;0;1;3;3;3;3;1213
1838;4;1;2021;1;0;1;3;8;3;1;449
1838;7;1;2021;1;0;1;3;1;3;1;562
1838;10;1;2021;1;0;1;3;1;3;3;237
1838;22;1;2021;1;0;1;3;3;1;3;430
1838;25;1;2021;1;0;1;3;2;1;3;317
1838;30;1;2021;1;0;1;3;3;1;3;613
1838;33;1;2021;1;0;1;3;3;1;3;317
1838;41;1;2021;1;0;1;1;1;1;1;193
1838;56;1;2021;1;0;1;3;3;3;3;449
1838;58;1;2021;1;0;1;3;3;3;3;339
1846;5;1;2021;1;0;1;3;3;3;3;318
1846;14;1;2021;1;0;1;3;3;3;3;398
1846;31;1;2021;1;0;1;3;3;3;3;356
1846;34;1;2021;1;0;1;1;1;1;1;360
1846;37;1;2021;1;0;1;3;3;3;3;279
1846;38;1;2021;1;0;1;3;2;3;3;372
1846;39;1;2021;1;0;1;3;3;3;3;558
1846;41;1;2021;1;0;1;1;2;1;3;720
1871;17;1;2021;1;0;1;1;1;1;1;553
1871;34;1;2021;1;0;1;3;3;3;3;491
1871;37;1;2021;1;0;1;3;3;3;3;1010
1871;38;1;2021;1;0;1;3;3;3;3;536
1871;54;1;2021;1;0;1;3;3;3;3;472
1871;55;1;2021;1;0;1;2;2;2;2;982
1871;65;1;2021;1;0;1;2;2;2;2;529
1871;69;1;2021;1;0;1;3;1;1;1;472
1989;5;1;2021;1;0;1;3;2;3;3;246
1989;13;1;2021;1;0;1;2;2;2;2;233
1989;20;1;2021;1;0;1;2;2;2;2;193
1989;21;1;2021;1;0;1;3;1;3;3;220
1989;21;2;2021;1;0;1;3;3;3;3;257
1989;28;1;2021;1;0;1;3;3;3;3;228
1989;30;1;2021;1;0;1;3;3;3;3;824
1989;32;1;2021;1;0;1;3;3;3;1;246
1989;35;1;2021;1;0;1;3;3;3;3;220
2233;1;1;2021;1;1;2;3;3;3;3;424
2233;6;1;2021;1;1;2;3;1;1;3;463
2233;14;1;2021;1;1;2;2;2;3;3;1534
2233;20;1;2021;1;1;2;3;3;3;1;1251
2233;27;1;2021;1;1;2;3;3;1;3;339
2233;29;1;2021;1;1;2;2;2;3;3;291
2233;30;1;2021;1;1;2;3;3;1;1;956
2233;32;1;2021;1;1;2;3;3;3;3;424
2233;51;1;2021;1;1;2;1;1;3;1;339
2274;10;1;2021;1;1;2;3;3;3;3;861
2274;24;1;2021;1;1;2;3;3;3;3;1799
2274;36;1;2021;1;1;2;3;1;3;1;861
2274;55;1;2021;1;1;2;3;3;1;3;2306
2274;74;1;2021;1;1;2;3;3;3;3;612
2274;81;1;2021;1;1;2;3;3;3;3;962
2274;83;1;2021;1;1;2;3;3;3;3;612
2365;15;1;2021;1;1;2;3;3;3;3;2505
2365;16;1;2021;1;1;2;3;3;3;3;2505
2365;36;1;2021;1;1;2;3;3;3;3;831
2365;38;1;2021;1;1;2;3;1;3;3;1001
2365;45;1;2021;1;1;2;2;2;1;3;1253
2365;50;1;2021;1;1;2;3;3;3;3;2165
2365;70;1;2021;1;1;2;3;3;3;1;2002
2504;4;1;2021;6;1;3;1;1;1;1;455
2504;10;1;2021;6;1;3;3;3;3;3;923
2504;20;1;2021;6;1;3;3;3;1;3;431
2504;38;1;2021;6;1;3;3;3;3;3;662
2504;41;1;2021;6;1;3;3;3;1;3;788
2504;47;1;2021;6;1;3;3;1;3;3;455
2504;51;1;2021;6;1;3;3;3;1;3;724
2504;55;1;2021;6;1;3;3;1;1;1;438
2504;56;1;2021;6;1;3;3;3;1;1;599
2504;62;1;2021;6;1;3;3;3;3;3;594
2521;13;1;2021;6;1;3;3;3;3;3;230
2521;14;1;2021;6;1;3;3;3;3;3;167
2521;22;1;2021;6;1;3;3;1;1;1;466
2521;23;1;2021;6;1;3;3;3;3;3;150
2521;25;1;2021;6;1;3;3;3;1;3;228
2521;26;1;2021;6;1;3;3;3;3;1;230
2521;27;1;2021;6;1;3;3;3;1;1;218
2521;33;1;2021;6;1;3;3;3;1;3;398
2521;35;1;2021;6;1;3;3;1;1;3;151
2521;39;1;2021;6;1;3;3;3;1;3;199
2526;2;1;2021;1;1;2;2;2;2;2;205
2526;7;1;2021;1;1;2;2;2;3;1;247
2526;11;1;2021;1;1;2;3;3;3;3;205
2526;14;1;2021;1;1;2;3;3;3;3;221
2526;29;1;2021;1;1;2;3;3;3;3;174
2526;35;1;2021;1;1;2;3;3;3;3;157
2526;36;1;2021;1;1;2;3;3;3;3;347
2526;40;1;2021;1;1;2;3;2;1;2;224
2526;41;1;2021;1;1;2;3;3;2;2;164
2526;47;1;2021;1;1;2;1;1;1;1;198
2590;23;1;2021;1;1;2;3;3;3;3;474
2590;43;1;2021;1;1;2;3;1;3;1;511
2590;45;1;2021;1;1;2;3;1;3;1;1023
2590;47;1;2021;1;1;2;3;3;1;3;363
2590;53;1;2021;1;1;2;3;3;3;3;511
2590;61;1;2021;1;1;2;3;3;3;3;1069
2590;86;1;2021;1;1;2;3;1;1;2;457
2590;88;1;2021;1;1;2;3;1;1;3;1023
2590;95;1;2021;1;1;2;3;1;3;3;1143
2590;100;1;2021;1;1;2;3;1;1;1;1370
2670;4;1;2021;6;1;3;3;3;3;3;198
2670;6;1;2021;6;1;3;3;1;1;1;601
2670;8;1;2021;6;1;3;3;3;3;3;796
2670;10;1;2021;6;1;3;3;3;1;3;221
2670;18;1;2021;6;1;3;3;3;1;1;263
2670;26;1;2021;6;1;3;3;3;3;3;308
2670;29;1;2021;6;1;3;3;1;3;3;198
2670;37;1;2021;6;1;3;3;3;1;1;303
2670;39;1;2021;6;1;3;3;3;3;3;308
2670;40;1;2021;6;1;3;3;3;3;3;263
2694;2;1;2021;6;1;3;3;3;3;3;453
2694;5;1;2021;6;1;3;3;3;1;3;453
2694;11;1;2021;6;1;3;3;1;3;1;665
2694;12;1;2021;6;1;3;3;3;3;1;454
2694;17;1;2021;6;1;3;3;3;1;3;451
2694;20;1;2021;6;1;3;3;3;3;3;1330
2694;22;1;2021;6;1;3;2;2;1;1;336
2694;26;1;2021;6;1;3;3;3;1;3;350
2694;31;1;2021;6;1;3;3;3;3;3;225
2694;35;1;2021;6;1;3;1;3;3;3;333
2739;2;1;2021;6;1;3;3;2;2;2;1240
2739;5;1;2021;6;1;3;3;1;3;3;2177
2739;10;1;2021;6;1;3;3;3;1;1;664
2739;24;1;2021;6;1;3;3;3;3;3;620
2739;29;1;2021;6;1;3;3;3;1;3;649
2739;31;1;2021;6;1;3;3;2;1;2;427
2909;3;1;2021;6;1;3;3;1;3;3;261
2909;9;1;2021;6;1;3;3;2;1;1;316
2909;10;1;2021;6;1;3;3;1;1;3;214
2909;16;1;2021;6;1;3;3;3;3;1;284
2909;23;1;2021;6;1;3;3;1;1;3;214
2909;25;1;2021;6;1;3;3;1;1;1;216
2909;27;1;2021;6;1;3;1;1;2;1;311
2909;31;1;2021;6;1;3;3;3;3;3;214
2909;36;1;2021;6;1;3;3;3;3;3;522
2909;38;1;2021;6;1;3;3;3;3;3;640
3087;2;1;2021;6;1;3;3;3;1;3;346
3087;4;1;2021;6;1;3;3;3;3;3;591
3087;8;1;2021;6;1;3;3;3;1;3;336
3087;9;1;2021;6;1;3;3;3;3;1;336
3087;27;1;2021;6;1;3;3;3;3;3;360
3087;31;1;2021;6;1;3;3;1;3;1;232
3087;32;1;2021;6;1;3;3;3;3;3;360
3087;44;1;2021;6;1;3;3;3;1;3;355
3087;52;1;2021;6;1;3;3;1;3;1;346
3087;53;1;2021;6;1;3;3;3;3;3;346
3094;5;1;2021;1;1;2;3;3;3;3;126
3094;11;1;2021;1;1;2;3;3;8;3;354
3094;13;1;2021;1;1;2;8;8;1;1;156
3094;17;1;2021;1;1;2;3;3;1;3;177
3094;21;1;2021;1;1;2;3;3;3;3;208
3094;22;1;2021;1;1;2;3;1;3;3;201
3094;33;1;2021;1;1;2;1;1;1;1;201
3094;34;1;2021;1;1;2;3;3;3;8;415
3094;37;1;2021;1;1;2;3;1;1;3;177
3094;41;1;2021;1;1;2;3;3;3;3;368
3117;22;1;2021;6;1;3;3;3;3;3;484
3117;24;1;2021;6;1;3;3;3;3;3;2463
3117;27;1;2021;6;1;3;3;3;1;1;1232
3117;30;1;2021;6;1;3;3;3;1;3;734
3117;38;1;2021;6;1;3;3;3;1;1;1077
3117;49;1;2021;6;1;3;3;3;1;1;1403
3117;52;1;2021;6;1;3;3;3;1;3;751
3160;13;1;2021;1;2;2;3;3;3;3;580
3160;15;1;2021;1;2;2;3;3;3;3;649
3160;19;1;2021;1;2;2;3;3;3;3;1314
3160;26;1;2021;1;2;2;1;2;1;1;1314
3160;41;1;2021;1;2;2;3;3;3;3;1526
3160;46;1;2021;1;2;2;1;2;3;3;1254
3160;56;1;2021;1;2;2;3;3;3;3;2902
3160;68;1;2021;1;2;2;3;3;3;3;649
3160;84;1;2021;1;2;2;3;3;3;3;413
3238;5;1;2021;6;2;3;3;3;3;3;552
3238;9;1;2021;6;2;3;3;3;3;3;731
3238;19;1;2021;6;2;3;3;3;3;3;1314
3238;25;1;2021;6;2;3;3;3;3;3;1262
3238;36;1;2021;6;2;3;3;3;3;3;1463
3238;37;1;2021;6;2;3;3;3;3;3;758
3238;38;1;2021;6;2;3;3;3;3;3;496
3238;39;1;2021;6;2;3;2;2;2;2;770
3437;2;1;2021;6;2;3;3;3;3;3;530
3437;4;1;2021;6;2;3;3;3;3;3;1350
3437;12;1;2021;6;2;3;3;1;1;1;351
3437;18;1;2021;6;2;3;3;1;1;1;384
3437;22;1;2021;6;2;3;1;1;2;1;267
3437;25;1;2021;6;2;3;3;3;3;3;351
3437;27;1;2021;6;2;3;3;3;1;3;395
3437;30;1;2021;6;2;3;3;3;1;1;870
3437;31;1;2021;6;2;3;3;3;3;3;405
3437;34;1;2021;6;2;3;3;3;3;3;384
3452;3;1;2021;6;2;3;3;3;3;3;321
3452;4;1;2021;6;2;3;3;1;1;3;422
3452;9;1;2021;6;2;3;3;1;3;3;422
3452;22;1;2021;6;2;3;3;1;3;3;470
3452;26;1;2021;6;2;3;3;3;3;3;924
3452;27;1;2021;6;2;3;3;3;3;3;1267
3452;29;1;2021;6;2;3;3;1;1;1;475
3452;34;1;2021;6;2;3;3;3;3;3;940
3452;42;1;2021;6;2;3;3;1;3;3;487
3452;43;1;2021;6;2;3;1;1;2;3;321
3594;2;1;2021;6;2;3;3;3;3;3;536
3594;3;1;2021;6;2;3;3;1;3;3;329
3594;7;1;2021;6;2;3;3;3;3;3;327
3594;8;1;2021;6;2;3;3;3;1;3;329
3594;17;1;2021;6;2;3;3;3;3;3;487
3594;20;1;2021;6;2;3;3;1;1;3;398
3594;23;1;2021;6;2;3;3;3;3;3;536
3594;30;1;2021;6;2;3;3;3;3;3;507
3594;36;1;2021;6;2;3;3;3;3;3;329
3594;42;1;2021;6;2;3;3;1;1;3;507
3623;7;1;2021;1;2;2;3;3;3;3;307
3623;10;1;2021;1;2;2;1;1;3;3;329
3623;13;1;2021;1;2;2;3;3;1;3;262
3623;18;1;2021;1;2;2;3;3;3;3;263
3623;22;1;2021;1;2;2;3;3;3;3;546
3623;23;1;2021;1;2;2;3;3;3;3;273
3623;24;1;2021;1;2;2;3;3;3;3;307
3623;28;1;2021;1;2;2;3;1;3;3;657
3623;30;1;2021;1;2;2;1;1;1;3;263
3623;36;1;2021;1;2;2;3;3;3;3;263
3723;2;1;2021;6;2;3;8;8;3;3;1143
3723;8;1;2021;6;2;3;3;3;1;3;1514
3723;13;1;2021;6;2;3;3;3;3;3;1038
3723;19;1;2021;6;2;3;3;3;1;3;571
3723;21;1;2021;6;2;3;3;3;1;3;699
3723;24;1;2021;6;2;3;3;3;3;3;348
3723;29;1;2021;6;2;3;3;3;1;3;541
3723;30;1;2021;6;2;3;3;1;1;1;350
3723;43;1;2021;6;2;3;1;1;3;3;528
3723;47;1;2021;6;2;3;3;3;3;3;699
3840;1;1;2021;1;2;2;3;1;3;3;251
3840;3;1;2021;1;2;2;3;3;3;3;209
3840;4;1;2021;1;2;2;2;2;1;1;251
3840;5;1;2021;1;2;2;1;1;1;1;225
3840;6;1;2021;1;2;2;3;3;1;3;160
3840;10;1;2021;1;2;2;3;1;1;1;455
3840;20;1;2021;1;2;2;3;3;3;3;225
3840;23;1;2021;1;2;2;3;3;3;3;503
3840;24;1;2021;1;2;2;3;3;3;3;201
3840;26;1;2021;1;2;2;3;3;3;3;225
3879;3;1;2021;6;2;3;3;1;1;3;271
3879;7;1;2021;6;2;3;3;1;3;3;1108
3879;17;1;2021;6;2;3;2;2;3;3;353
3879;19;1;2021;6;2;3;3;3;3;3;489
3879;26;1;2021;6;2;3;3;3;1;3;756
3879;27;1;2021;6;2;3;3;3;3;3;378
3879;29;1;2021;6;2;3;3;1;3;1;245
3879;30;1;2021;6;2;3;3;3;3;3;243
3879;36;1;2021;6;2;3;3;3;3;3;726
3879;38;1;2021;6;2;3;3;3;1;3;645
3967;3;1;2021;6;2;3;3;3;1;3;407
3967;6;1;2021;6;2;3;3;3;3;3;1270
3967;7;1;2021;6;2;3;3;3;3;3;303
3967;12;1;2021;6;2;3;3;3;3;3;332
3967;16;1;2021;6;2;3;3;3;1;3;407
3967;17;1;2021;6;2;3;3;3;3;3;303
3967;18;1;2021;6;2;3;3;3;3;3;417
3967;22;1;2021;6;2;3;3;3;3;3;417
3967;25;1;2021;6;2;3;3;3;3;3;361
3967;26;1;2021;6;2;3;3;3;3;3;423
4048;3;1;2021;1;2;2;3;3;3;3;304
4048;4;1;2021;1;2;2;3;1;3;3;293
4048;5;1;2021;1;2;2;3;3;3;3;733
4048;6;1;2021;1;2;2;3;3;3;3;2692
4048;11;1;2021;1;2;2;3;3;3;3;367
4048;14;1;2021;1;2;2;2;2;2;2;332
4048;16;1;2021;1;2;2;3;1;3;3;656
4048;24;1;2021;1;2;2;3;1;1;3;634
4048;36;1;2021;1;2;2;3;3;2;2;208
4048;40;1;2021;1;2;2;3;3;3;3;328
4076;3;1;2021;6;2;3;3;3;3;3;1117
4076;6;1;2021;6;2;3;3;3;3;3;575
4076;11;1;2021;6;2;3;3;3;1;3;381
4076;13;1;2021;6;2;3;3;3;3;3;502
4076;27;1;2021;6;2;3;3;3;3;3;549
4076;28;1;2021;6;2;3;3;3;1;1;421
4076;30;1;2021;6;2;3;3;1;3;3;1176
4076;38;1;2021;6;2;3;3;3;1;3;379
4076;39;1;2021;6;2;3;3;3;1;1;1098
4076;45;1;2021;6;2;3;3;3;3;3;1149
4190;1;1;2021;6;2;3;3;3;1;3;453
4190;7;1;2021;6;2;3;3;3;1;1;303
4190;16;1;2021;6;2;3;3;3;3;3;338
4190;19;1;2021;6;2;3;3;3;1;3;303
4190;21;1;2021;6;2;3;3;1;1;1;607
4190;23;1;2021;6;2;3;3;3;1;3;676
4190;24;1;2021;6;2;3;3;1;3;3;461
4190;26;1;2021;6;2;3;3;3;3;3;880
4190;34;1;2021;6;2;3;3;3;3;3;472
4190;37;1;2021;6;2;3;3;1;3;1;453
4325;1;1;2021;6;2;3;3;3;3;3;725
4325;6;1;2021;6;2;3;3;1;3;1;745
4325;13;1;2021;6;2;3;3;2;3;3;776
4325;16;1;2021;6;2;3;3;3;8;3;745
4325;21;1;2021;6;2;3;3;3;1;1;556
4325;22;1;2021;6;2;3;3;3;3;3;1004
4325;41;1;2021;6;2;3;3;3;3;3;556
4325;45;1;2021;6;2;3;3;1;1;3;1517
4416;5;1;2021;1;2;2;3;3;2;2;274
4416;6;1;2021;1;2;2;3;3;2;2;249
4416;7;1;2021;1;2;2;3;3;3;3;507
4416;10;1;2021;1;2;2;8;8;1;1;411
4416;21;1;2021;1;2;2;3;3;3;3;718
4416;26;1;2021;1;2;2;3;1;3;3;266
4416;29;1;2021;1;2;2;3;3;1;3;262
4416;32;1;2021;1;2;2;3;3;3;3;274
4416;43;1;2021;1;2;2;1;1;2;2;262
4416;45;1;2021;1;2;2;2;2;3;3;262
4457;2;1;2021;6;2;3;3;3;3;3;278
4457;5;1;2021;6;2;3;3;3;3;3;431
4457;7;1;2021;6;2;3;3;3;3;3;2121
4457;13;1;2021;6;2;3;3;3;1;3;280
4457;17;1;2021;6;2;3;3;3;1;1;280
4457;22;1;2021;6;2;3;3;3;3;3;1725
4457;26;1;2021;6;2;3;3;3;3;3;421
4457;31;1;2021;6;2;3;3;3;1;3;839
4457;35;1;2021;6;2;3;3;2;1;3;618
4457;37;1;2021;6;2;3;8;8;3;3;280
4506;1;1;2021;6;2;3;3;3;3;3;388
4506;6;1;2021;6;2;3;8;8;3;3;388
4506;10;1;2021;6;2;3;3;3;3;3;260
4506;12;1;2021;6;2;3;3;3;3;3;427
4506;18;1;2021;6;2;3;3;1;1;1;404
4506;23;1;2021;6;2;3;1;3;1;3;404
4506;25;1;2021;6;2;3;3;3;3;3;767
4506;26;1;2021;6;2;3;3;3;3;3;262
4506;31;1;2021;6;2;3;3;3;1;3;388
4506;32;1;2021;6;2;3;3;3;1;1;398
4565;4;1;2021;6;2;3;3;3;3;3;883
4565;5;1;2021;6;2;3;3;3;3;3;392
4565;6;1;2021;6;2;3;3;3;1;3;298
4565;7;1;2021;6;2;3;3;3;3;3;453
4565;10;1;2021;6;2;3;3;3;3;3;392
4565;12;1;2021;6;2;3;3;3;3;3;1177
4565;16;1;2021;6;2;3;8;3;3;3;330
4565;22;1;2021;6;2;3;3;1;1;3;906
4565;34;1;2021;6;2;3;3;3;3;3;453
4565;38;1;2021;6;2;3;3;3;3;3;298
4711;7;1;2021;6;2;3;3;3;3;3;268
4711;10;1;2021;6;2;3;3;2;2;3;359
4711;12;1;2021;6;2;3;3;3;3;3;537
4711;15;1;2021;6;2;3;3;3;1;3;749
4711;18;1;2021;6;2;3;3;3;3;3;369
4711;21;1;2021;6;2;3;3;3;3;3;369
4711;24;1;2021;6;2;3;3;3;1;3;243
4711;29;1;2021;6;2;3;3;3;3;3;293
4711;30;1;2021;6;2;3;3;3;3;3;349
4711;32;1;2021;6;2;3;3;3;3;1;369
4881;4;1;2021;6;2;3;3;3;1;1;657
4881;5;1;2021;6;2;3;3;3;3;3;999
4881;12;1;2021;6;2;3;2;2;1;1;740
4881;18;1;2021;6;2;3;3;3;3;3;657
4881;21;1;2021;6;2;3;3;3;3;1;500
4881;29;1;2021;6;2;3;3;3;3;3;552
4881;31;1;2021;6;2;3;3;3;3;3;496
4891;5;1;2021;6;2;3;3;3;3;3;648
4891;7;1;2021;6;2;3;1;1;1;3;794
4891;18;1;2021;6;2;3;3;3;3;3;705
4891;42;1;2021;6;2;3;2;2;3;3;814
4891;45;1;2021;6;2;3;1;1;3;1;785
4891;68;1;2021;6;2;3;3;3;3;3;826
4891;79;1;2021;6;2;3;3;3;2;1;705
4891;87;1;2021;6;2;3;3;1;3;3;592
4891;90;1;2021;6;2;3;3;3;1;3;1064
4891;103;1;2021;6;2;3;3;3;3;3;1185
5008;6;1;2021;1;2;2;1;1;2;2;181
5008;7;1;2021;1;2;2;3;3;3;3;218
5008;9;1;2021;1;2;2;3;3;3;3;231
5008;10;1;2021;1;2;2;3;3;3;3;155
5008;25;1;2021;1;2;2;8;8;1;1;247
5008;27;1;2021;1;2;2;3;3;3;3;255
5008;29;1;2021;1;2;2;3;3;1;3;493
5008;31;1;2021;1;2;2;3;3;3;3;226
5008;40;1;2021;1;2;2;2;3;3;3;255
5008;45;1;2021;1;2;2;3;3;1;1;218
5046;6;1;2021;6;2;3;3;3;2;2;411
5046;12;1;2021;6;2;3;3;3;3;3;312
5046;16;1;2021;6;2;3;3;3;1;1;463
5046;21;1;2021;6;2;3;2;2;1;1;345
5046;24;1;2021;6;2;3;3;3;3;1;463
5046;28;1;2021;6;2;3;3;3;2;2;458
5046;29;1;2021;6;2;3;3;3;3;3;378
5046;34;1;2021;6;2;3;2;2;1;2;450
5046;37;1;2021;6;2;3;3;3;1;1;411
5046;45;1;2021;6;2;3;3;3;3;3;474
5167;3;1;2021;6;2;3;2;1;3;3;311
5167;4;1;2021;6;2;3;1;1;1;1;284
5167;12;1;2021;6;2;3;1;1;1;1;396
5167;13;1;2021;6;2;3;3;3;1;1;284
5167;14;1;2021;6;2;3;3;3;3;3;257
5167;15;1;2021;6;2;3;3;3;3;3;255
